entity,value,synonyms
GC,Fabre Michel,Michel Fabre
GC,De Battista Regis,Regis De Battista
GC,Deonna Emmanuel,Emmanuel Deonna
GC,Tombola Jean-Pierre,Jean-Pierre Tombola
GC,Keel Theo,Theo Keel
GC,Lapalud Patrick,Patrick Lapalud
GC,Barry Thierno,Thierno Barry
GC,Halimi Hysri,Hysri Halimi
GC,Gajardo Munoz Jorge,Jorge Gajardo Munoz
GC,Alonso Unica Manuel,Manuel Alonso Unica
GC,Baldini Frédéric,Frederic Baldini
GC,Bruchez Thomas,Thomas Bruchez
GC,Benda Benjamin,Benjamin Benda
GC,Burkhard Roland,Roland Burkhard
GC,Bosshard Pierre Yves,Pierre Yves Bosshard
GC,Kurteshi Ismet,Ismet Kurteshi
GC,Maudet Pierre,Pierre Maudet
GC,Fontanet Nathalie,Nathalie Fontanet
GC,De Senarclens Alexandre,Alexandre De Senarclens
GC,De Montmollin Simone,Simone De Montmollin
GC,Morel Philippe,Philippe Morel
GC,Putallaz Jean,Jean Putallaz:Jean Jean Romain
GC,Saudan Patrick,Patrick Saudan
GC,Selleger Charles,Charles Selleger
GC,Uehlinger Pascal,Pascal Uehlinger
GC,Vuillod Georges,Georges Vuillod
GC,Wicky Raymond,Raymond Wicky
GC,Zuber Céline,Celine Zuber:Celine Roy
GC,Zweifel Yvan,Yvan Zweifel
GC,Aellen Cyril,Cyril Aellen
GC,Alder Murat Julian,Murat Julian Alder
GC,Barbey Alexis,Alexis Barbey
GC,Barde Antoine,Antoine Barde
GC,Béné Jacques,Jacques Bene
GC,De Candolle Beatriz,Beatriz De Candolle
GC,Conne Pierre,Pierre Conne
GC,Cuendet Edouard,Edouard Cuendet
GC,Hardyn Nathalie,Nathalie Hardyn
GC,Hiltpold Serge,Serge Hiltpold
GC,Malek-Asghar Patrick,Patrick Malek-Asghar
GC,Monbaron Fabienne,Fabienne Monbaron:Fabienne Monbaron-Stress
GC,Morand Louise,Louise Morand
GC,Nicollier Pierre,Pierre Nicollier
GC,Oppliger Danielle,Danielle Oppliger
GC,Orsini Antoine,Antoine Orsini
GC,Pasquier Jean-Pierre,Jean-Pierre Pasquier
GC,Patek Serge,Serge Patek
GC,De Planta Francine,Francine De Planta
GC,Rana Zolana Ginior,Ginior Rana Zolana
GC,Rigotti Maria,Maria Rigotti:Helena Rigotti
GC,Roullet Michèle,Michele Roullet
GC,Schaller Vincent,Vincent Schaller
GC,Schneebeli Roland-Daniel,Roland-Daniel Schneebeli
GC,Senglet Christophe,Christophe Senglet
GC,Serrano Philippe,Philippe Serrano
GC,Sommer Monika,Monika Sommer
GC,Steiner Matthieu,Matthieu Steiner
GC,Subilia Vincent,Vincent Subilia
GC,Taboada Francisco,Francisco Taboada
GC,Tschopp Laurent,Laurent Tschopp
GC,Wavre Rolin,Rolin Wavre
GC,Wicki Guy,Guy Wicki
GC,Wolfisberg François,François Wolfisberg
