entity,value,synonyms
Candidate,Eya Nchama Cruz Melchor,Cruz Melchor Eya Nchama
Candidate,Brandrup Gladys,Gladys Brandrup:Gladys Acosta Brandrup
Candidate,Chiaradonna Denis,Denis Chiaradonna
Candidate,Lüthi Badia,Badia Luthi
Candidate,Clemence Nicolas,Nicolas Clemence
Candidate,Vatre Patricia,Patricia Vatre
Candidate,Zimmermann Michel,Michel Zimmermann
Candidate,Viret Dora,Dora Viret:Cecilia Viret
Candidate,Velasco Alberto,Alberto Velasco
Candidate,Fabre Michel,Michel Fabre
Candidate,De Battista Regis,Regis De Battista
Candidate,Deonna Emmanuel,Emmanuel Deonna
Candidate,Tombola Jean-Pierre,Jean-Pierre Tombola
Candidate,Keel Theo,Theo Keel
Candidate,Lapalud Patrick,Patrick Lapalud
Candidate,Barry Thierno,Thierno Barry
Candidate,Halimi Hysri,Hysri Halimi
Candidate,Gajardo Munoz Jorge,Jorge Gajardo Munoz
Candidate,Alonso Unica Manuel,Manuel Alonso Unica
Candidate,Baldini Frédéric,Frederic Baldini
Candidate,Bruchez Thomas,Thomas Bruchez
Candidate,Benda Benjamin,Benjamin Benda
Candidate,Burkhard Roland,Roland Burkhard
Candidate,Bosshard Pierre Yves,Pierre Yves Bosshard
Candidate,Kurteshi Ismet,Ismet Kurteshi
Candidate,Maudet Pierre,Pierre Maudet
Candidate,Fontanet Nathalie,Nathalie Fontanet
Candidate,De Senarclens Alexandre,Alexandre De Senarclens
Candidate,De Montmollin Simone,Simone De Montmollin
Candidate,Morel Philippe,Philippe Morel
Candidate,Putallaz Jean,Jean Putallaz:Jean Jean Romain
Candidate,Saudan Patrick,Patrick Saudan
Candidate,Selleger Charles,Charles Selleger
Candidate,Uehlinger Pascal,Pascal Uehlinger
Candidate,Vuillod Georges,Georges Vuillod
Candidate,Wicky Raymond,Raymond Wicky
Candidate,Zuber Céline,Celine Zuber:Celine Roy
Candidate,Zweifel Yvan,Yvan Zweifel
Candidate,Aellen Cyril,Cyril Aellen
Candidate,Alder Murat Julian,Murat Julian Alder
Candidate,Barbey Alexis,Alexis Barbey
Candidate,Barde Antoine,Antoine Barde
Candidate,Béné Jacques,Jacques Bene
Candidate,De Candolle Beatriz,Beatriz De Candolle
Candidate,Conne Pierre,Pierre Conne
Candidate,Cuendet Edouard,Edouard Cuendet
Candidate,Hardyn Nathalie,Nathalie Hardyn
Candidate,Hiltpold Serge,Serge Hiltpold
Candidate,Malek-Asghar Patrick,Patrick Malek-Asghar
Candidate,Monbaron Fabienne,Fabienne Monbaron:Fabienne Monbaron-Stress
Candidate,Morand Louise,Louise Morand
Candidate,Nicollier Pierre,Pierre Nicollier
Candidate,Oppliger Danielle,Danielle Oppliger
Candidate,Orsini Antoine,Antoine Orsini
Candidate,Pasquier Jean-Pierre,Jean-Pierre Pasquier
Candidate,Patek Serge,Serge Patek
Candidate,De Planta Francine,Francine De Planta
Candidate,Rana Zolana Ginior,Ginior Rana Zolana
Candidate,Rigotti Maria,Maria Rigotti:Helena Rigotti
Candidate,Roullet Michèle,Michele Roullet
Candidate,Schaller Vincent,Vincent Schaller
Candidate,Schneebeli Roland-Daniel,Roland-Daniel Schneebeli
Candidate,Senglet Christophe,Christophe Senglet
Candidate,Serrano Philippe,Philippe Serrano
Candidate,Sommer Monika,Monika Sommer
Candidate,Steiner Matthieu,Matthieu Steiner
Candidate,Subilia Vincent,Vincent Subilia
Candidate,Taboada Francisco,Francisco Taboada
Candidate,Tschopp Laurent,Laurent Tschopp
Candidate,Wavre Rolin,Rolin Wavre
Candidate,Wicki Guy,Guy Wicki
Candidate,Wolfisberg François,François Wolfisberg
Candidate,Agramunt Gian-Reto,Gian-Reto Agramunt
Candidate,Apothéloz Jacques,Jacques Apotheloz
Candidate,Aubert Nicolas,Nicolas Aubert
Candidate,Barbier-Mueller Diane,Diane Barbier-Mueller
Candidate,Bellingeri Stefano Vito,Stefano Vito Bellingeri
