entity,value,synonyms
Candidat,Alonso Unica Manuel,Manuel Alonso Unica:Manuel Alonso Unica
Candidat,Baldini Frédéric,Frédéric Baldini:Frederic Baldini
Candidat,Bruchez Thomas,Thomas Bruchez:Thomas Bruchez
Candidat,Benda Benjamin,Benjamin Benda:Benjamin Benda
Candidat,Burkhard Roland,Roland Burkhard:Roland Burkhard
Candidat,Bosshard Pierre Yves,Pierre Yves Bosshard:Pierre Yves Bosshard
Candidat,Kurteshi Ismet,Ismet Kurteshi:Ismet Kurteshi
Candidat,Maudet Pierre,Pierre Maudet:Pierre Maudet
Candidat,Fontanet Nathalie,Nathalie Fontanet:Nathalie Fontanet
Candidat,De Senarclens Alexandre,Alexandre De Senarclens:Alexandre De Senarclens
Candidat,De Montmollin Simone,Simone De Montmollin:Simone De Montmollin
Candidat,Morel Philippe,Philippe Morel:Philippe Morel
Candidat,Putallaz Jean,Jean Putallaz:Jean Jean Romain:Jean Putallaz:Jean Jean Romain
Candidat,Saudan Patrick,Patrick Saudan:Patrick Saudan
Candidat,Selleger Charles,Charles Selleger:Charles Selleger
Candidat,Uehlinger Pascal,Pascal Uehlinger:Pascal Uehlinger
Candidat,Vuillod Georges,Georges Vuillod:Georges Vuillod
Candidat,Wicky Raymond,Raymond Wicky:Raymond Wicky
Candidat,Zuber Céline,Céline Zuber:Céline Roy:Celine Zuber:Celine Roy
Candidat,Zweifel Yvan,Yvan Zweifel:Yvan Zweifel
Candidat,Aellen Cyril,Cyril Aellen:Cyril Aellen
Candidat,Alder Murat Julian,Murat Julian Alder:Murat Julian Alder
Candidat,Barbey Alexis,Alexis Barbey:Alexis Barbey
Candidat,Barde Antoine,Antoine Barde:Antoine Barde
Candidat,Béné Jacques,Jacques Béné:Jacques Bene
Candidat,De Candolle Beatriz,Beatriz De Candolle:Beatriz De Candolle
Candidat,Conne Pierre,Pierre Conne:Pierre Conne
Candidat,Cuendet Edouard,Edouard Cuendet:Edouard Cuendet
Candidat,Hardyn Nathalie,Nathalie Hardyn:Nathalie Hardyn
Candidat,Hiltpold Serge,Serge Hiltpold:Serge Hiltpold
Candidat,Malek-Asghar Patrick,Patrick Malek-Asghar:Patrick Malek Asghar
Candidat,Monbaron Fabienne,Fabienne Monbaron:Fabienne Monbaron-Stress:Fabienne Monbaron:Fabienne Monbaron Stress
Candidat,Morand Louise,Louise Morand:Louise Morand
Candidat,Nicollier Pierre,Pierre Nicollier:Pierre Nicollier
Candidat,Oppliger Danielle,Danielle Oppliger:Danielle Oppliger
Candidat,Orsini Antoine,Antoine Orsini:Antoine Orsini
Candidat,Pasquier Jean-Pierre,Jean-Pierre Pasquier:Jean Pierre Pasquier
Candidat,Patek Serge,Serge Patek:Serge Patek
Candidat,De Planta Francine,Francine De Planta:Francine De Planta
Candidat,Rana Zolana Ginior,Ginior Rana Zolana:Ginior Rana Zolana
Candidat,Rigotti Maria,Maria Rigotti:Helena Rigotti:Maria Rigotti:Helena Rigotti
Candidat,Roullet Michèle,Michèle Roullet:Michele Roullet
Candidat,Schaller Vincent,Vincent Schaller:Vincent Schaller
Candidat,Schneebeli Roland-Daniel,Roland-Daniel Schneebeli:Roland Daniel Schneebeli
