entity,value,synonyms
Depute-e,BOSSHARD Pierre Yves,BOSSHARD:Pierre:Yves
Depute-e,KURTESHI Ismet,KURTESHI:Ismet
Depute-e,MAUDET Pierre,MAUDET:Pierre
Depute-e,FONTANET Nathalie,FONTANET:Nathalie
Depute-e,DE SENARCLENS Alexandre,DE:SENARCLENS:Alexandre
Depute-e,DE MONTMOLLIN Simone,DE:MONTMOLLIN:Simone
Depute-e,MOREL Philippe,MOREL:Philippe
Depute-e,PUTALLAZ Jean,PUTALLAZ:Jean:Jean:ROMAIN
Depute-e,SAUDAN Patrick,SAUDAN:Patrick
Depute-e,SELLEGER Charles,SELLEGER:Charles
Depute-e,UEHLINGER Pascal,UEHLINGER:Pascal
Depute-e,VUILLOD Georges,VUILLOD:Georges
Depute-e,WICKY Raymond,WICKY:Raymond
Depute-e,ZUBER Céline,ZUBER:Céline:ROY
Depute-e,ZWEIFEL Yvan,ZWEIFEL:Yvan
Depute-e,AELLEN Cyril,AELLEN:Cyril
Depute-e,ALDER Murat Julian,ALDER:Murat:Julian
Depute-e,BARBEY Alexis,BARBEY:Alexis
Depute-e,BARDE Antoine,BARDE:Antoine
Depute-e,BÉNÉ Jacques,BÉNÉ:Jacques
Depute-e,DE CANDOLLE Beatriz,DE:CANDOLLE:Beatriz
Depute-e,CONNE Pierre,CONNE:Pierre
Depute-e,CUENDET Edouard,CUENDET:Edouard
Depute-e,HARDYN Nathalie,HARDYN:Nathalie
Depute-e,HILTPOLD Serge,HILTPOLD:Serge
Depute-e,MALEK-ASGHAR Patrick,MALEK-ASGHAR:Patrick
Depute-e,MONBARON Fabienne,MONBARON:Fabienne:MONBARON-STRESS
Depute-e,MORAND Louise,MORAND:Louise
Depute-e,NICOLLIER Pierre,NICOLLIER:Pierre
Depute-e,OPPLIGER Danielle,OPPLIGER:Danielle
Depute-e,ORSINI Antoine,ORSINI:Antoine
Depute-e,PASQUIER Jean-Pierre,PASQUIER:Jean-Pierre
Depute-e,PATEK Serge,PATEK:Serge
Depute-e,DE PLANTA Francine,DE:PLANTA:Francine
Depute-e,RANA ZOLANA Ginior,RANA:ZOLANA:Ginior
Depute-e,RIGOTTI Maria,RIGOTTI:Maria:Helena
Depute-e,ROULLET Michèle,ROULLET:Michèle
Depute-e,SCHALLER Vincent,SCHALLER:Vincent
Depute-e,SCHNEEBELI Roland-Daniel,SCHNEEBELI:Roland-Daniel
Depute-e,SENGLET Christophe,SENGLET:Christophe
Depute-e,SERRANO Philippe,SERRANO:Philippe
Depute-e,SOMMER Monika,SOMMER:Monika
Depute-e,STEINER Matthieu,STEINER:Matthieu
Depute-e,SUBILIA Vincent,SUBILIA:Vincent
Depute-e,TABOADA Francisco,TABOADA:Francisco
Depute-e,TSCHOPP Laurent,TSCHOPP:Laurent
Depute-e,WAVRE Rolin,WAVRE:Rolin
Depute-e,WICKI Guy,WICKI:Guy
Depute-e,WOLFISBERG François,WOLFISBERG:François
Depute-e,AGRAMUNT Gian-Reto,AGRAMUNT:Gian-Reto
Depute-e,APOTHÉLOZ Jacques,APOTHÉLOZ:Jacques
Depute-e,AUBERT Nicolas,AUBERT:Nicolas
Depute-e,BARBIER-MUELLER Diane,BARBIER-MUELLER:Diane
Depute-e,BELLINGERI Stefano Vito,BELLINGERI:Stefano:Vito
Depute-e,BERSIER Julie,BERSIER:Julie
Depute-e,BLANCH Richard-Pascal,BLANCH:Richard-Pascal:Pascal
Depute-e,BÖHLER Frances,BÖHLER:Frances:BÖHLER-GOODSHIP:Elizabeth
Depute-e,BOUVIER Christine,BOUVIER:Christine
Depute-e,BRANDT Simon,BRANDT:Simon
Depute-e,BRON Gilles-Olivier,BRON:Gilles-Olivier
Depute-e,BRUNEL Mayori,BRUNEL:Mayori
Depute-e,BURRI Rémy,BURRI:Rémy
Depute-e,CORNU Renate,CORNU:Renate
Depute-e,CREFFIELD Conrad,CREFFIELD:Conrad
Depute-e,DAHER Vincent,DAHER:Vincent
Depute-e,DÉROBERT Thierry,DÉROBERT:Thierry
Depute-e,DESFAYES Natacha,DESFAYES:Natacha:BUFFET-DESFAYES
Depute-e,DOUZALS Jacques,DOUZALS:Jacques
Depute-e,FISS Joëlle,FISS:Joëlle
Depute-e,GENECAND Adrien,GENECAND:Adrien
Depute-e,GIACOBINO Donata,GIACOBINO:Donata:GIACOBINO-FROIDEVAUX:Nadia
Depute-e,GRAND Eric,GRAND:Eric
Depute-e,GROGNUZ Fabien,GROGNUZ:Fabien
Depute-e,JAY Sylvie,JAY:Sylvie
Depute-e,JUD Philippe,JUD:Philippe
Depute-e,KÄMPFEN Véronique,KÄMPFEN:Véronique
Depute-e,LÄMMEL Valérie,LÄMMEL:Valérie:LAEMMEL-JUILLARD
Depute-e,LEISER Jean-Marc,LEISER:Jean-Marc
Depute-e,LOCHER Jean,LOCHER:Jean
Depute-e,LUZZATTO Christine,LUZZATTO:Christine
Depute-e,MESSERLI Marie-Claire,MESSERLI:Marie-Claire
Depute-e,MEYER Philippe,MEYER:Philippe
Depute-e,BARTHASSAT Luc,BARTHASSAT:Luc
Depute-e,DAL BUSCO Serge,DAL:BUSCO:Serge
Depute-e,BUCHS Bertrand,BUCHS:Bertrand
Depute-e,AEBI Benjamin,AEBI:Benjamin
Depute-e,ANGELOZZI Philippe,ANGELOZZI:Philippe
Depute-e,VON ARX-VERNON Anne-Marie,VON:ARX-VERNON:Anne-Marie
Depute-e,BACHMANN Delphine,BACHMANN:Delphine
Depute-e,BIDAUX Patricia,BIDAUX:Patricia:BIDAUX-RODRIGUEZ
Depute-e,BLONDIN Jacques,BLONDIN:Jacques
Depute-e,BOCQUET Claude,BOCQUET:Claude
Depute-e,BOURBALA Djamel,BOURBALA:Djamel
Depute-e,BOUVIER Jérémy,BOUVIER:Jérémy
Depute-e,BUGNION Jean-Michel,BUGNION:Jean-Michel
Depute-e,CASUTT Martine,CASUTT:Martine
Depute-e,CERUTTI Olivier,CERUTTI:Olivier
Depute-e,CHAKER MANGEAT Alia,CHAKER:MANGEAT:Alia
Depute-e,CHEVALIER Alexandre,CHEVALIER:Alexandre
Depute-e,DECREY Christophe,DECREY:Christophe
Depute-e,DELUERMOZ Cosima,DELUERMOZ:Cosima
Depute-e,DESFAYES Sébastien,DESFAYES:Sébastien
Depute-e,DULEX Christophe,DULEX:Christophe
Depute-e,DUPONT Thérèse,DUPONT:Thérèse
Depute-e,ENGELBERTS Marie-Thérèse,ENGELBERTS:Marie-Thérèse:ENGELBERTS-LEONE
Depute-e,FISCHER Daniel,FISCHER:Daniel
Depute-e,FORNI Jean-Luc,FORNI:Jean-Luc
Depute-e,FOURNIER Nicolas,FOURNIER:Nicolas
Depute-e,FRISCHKNECHT Catherine,FRISCHKNECHT:Catherine
Depute-e,GACHE Hélène,GACHE:Hélène
Depute-e,GASHI Sami,GASHI:Sami
Depute-e,GIANNASI Anthony,GIANNASI:Anthony
Depute-e,GIANNELLI Mark,GIANNELLI:Mark
Depute-e,GIORIA Gaëlle,GIORIA:Gaëlle
Depute-e,GUINCHARD Jean-Marc,GUINCHARD:Jean-Marc
Depute-e,DE KALBERMATTEN Alain,DE:KALBERMATTEN:Alain
Depute-e,KHATTABI HASSAR Houda,KHATTABI:HASSAR:Houda
Depute-e,KUNZ Laurence,KUNZ:Laurence
Depute-e,LANCE François,LANCE:François
Depute-e,LATHION Jean Charles,LATHION:Jean:Charles
Depute-e,LEHNER Laurent,LEHNER:Laurent
Depute-e,LUPO Paolo,LUPO:Paolo
Depute-e,MAGNIN Xavier,MAGNIN:Xavier
Depute-e,MAGNIN Yves,MAGNIN:Yves
Depute-e,MAITRE Vincent,MAITRE:Vincent
Depute-e,MAKKI Michela,MAKKI:Michela:Michèle
Depute-e,MEISSNER REYFER Christine,MEISSNER:REYFER:Christine:Christina
Depute-e,MERLE Emmanuelle,MERLE:Emmanuelle
Depute-e,METTAN Guy,METTAN:Guy
Depute-e,MEYER DE STADELHOFEN Philippe,MEYER:DE:STADELHOFEN:Philippe
Depute-e,MONDOUX Alexandre,MONDOUX:Alexandre
Depute-e,MORONI Catherine,MORONI:Catherine
Depute-e,NEUDER Isabelle,NEUDER:Isabelle
Depute-e,OUEDRAOGO Moustapha,OUEDRAOGO:Moustapha
Depute-e,PERRET Vincent,PERRET:Vincent
Depute-e,PFEIFFER Alex,PFEIFFER:Alex
Depute-e,PROGIN Christian,PROGIN:Christian
Depute-e,PUTALLAZ Thomas,PUTALLAZ:Thomas
Depute-e,RASOLO Daniel,RASOLO:Daniel
Depute-e,RUCHET Philippe,RUCHET:Philippe
Depute-e,RYS Alexandra,RYS:Alexandra
Depute-e,SAUDAN Guy,SAUDAN:Guy
Depute-e,SAYEGH Souheil,SAYEGH:Souheil
Depute-e,SCANDURRA Alessandro,SCANDURRA:Alessandro
Depute-e,SCHMIED Patrick,SCHMIED:Patrick
Depute-e,SCHRAG Sylvianne,SCHRAG:Sylvianne
Depute-e,SIMOES Jose,SIMOES:Jose
Depute-e,SOPI Dardan,SOPI:Dardan
Depute-e,SQUILLACI Nicola,SQUILLACI:Nicola
Depute-e,STEINBERG CANDRIAN Melinda,STEINBERG:CANDRIAN:Melinda
Depute-e,TOMASSI Christine,TOMASSI:Christine
Depute-e,TREMBLET Laurent,TREMBLET:Laurent
Depute-e,UONG Dinh Manh,UONG:Dinh:Manh
Depute-e,VÖLKI Robert,VÖLKI:Robert
Depute-e,VUARNOZ Emanuela,VUARNOZ:Emanuela:Emanuelle
Depute-e,WEHRLI Patrick,WEHRLI:Patrick
Depute-e,ZIMMERMANN Luc,ZIMMERMANN:Luc
Depute-e,ZIMMERMANN Bertrand,ZIMMERMANN:Bertrand
Depute-e,NIDEGGER Yves,NIDEGGER:Yves
Depute-e,BLÄSI Thomas,BLÄSI:Thomas
Depute-e,FLOREY Stéphane,FLOREY:Stéphane
Depute-e,LEYVRAZ Eric,LEYVRAZ:Eric
Depute-e,FUHRMANN Marc,FUHRMANN:Marc
Depute-e,LUSSI Patrick,LUSSI:Patrick
Depute-e,IVANOV Christo,IVANOV:Christo
Depute-e,FALQUET Marc,FALQUET:Marc
Depute-e,MAENDLY Norbert,MAENDLY:Norbert
Depute-e,PFEFFER André,PFEFFER:André
Depute-e,CATELAIN Gilbert,CATELAIN:Gilbert
Depute-e,HULLIGER Patrick,HULLIGER:Patrick
Depute-e,MICHAUD Eliane,MICHAUD:Eliane:ANSERMET
Depute-e,SCHERB Peter,SCHERB:Peter:Pierre
Depute-e,STARK Riccardo,STARK:Riccardo:Richard
Depute-e,GUINCHARD Damien,GUINCHARD:Damien
Depute-e,BISOL Walter,BISOL:Walter
Depute-e,MASÉ Zora,MASÉ:Zora
Depute-e,VELEN François,VELEN:François
Depute-e,KNÖRR Stephen,KNÖRR:Stephen
Depute-e,RUBELI Pascal,RUBELI:Pascal
Depute-e,LYON Didier,LYON:Didier
Depute-e,PERRENOUD Philippe,PERRENOUD:Philippe
Depute-e,DUTRUIT André,DUTRUIT:André
Depute-e,ALTENBACH Pascal,ALTENBACH:Pascal
Depute-e,QUEFFÉLEC Philippe,QUEFFÉLEC:Philippe
Depute-e,LAPORTE Claude,LAPORTE:Claude
Depute-e,CONTI Virna,CONTI:Virna
Depute-e,PAREL Loïc,PAREL:Loïc
Depute-e,HEDDI Leila,HEDDI:Leila
Depute-e,GOMES DE ALMEIDA José,GOMES:DE:ALMEIDA:José:Manuel
Depute-e,BERTINAT Marie-Agnès,BERTINAT:Marie-Agnès
Depute-e,MOUNLA Alexandre,MOUNLA:Alexandre
Depute-e,DOURNOW David,DOURNOW:David
Depute-e,CHAUSSIVERT Patrice,CHAUSSIVERT:Patrice
Depute-e,KNOLL Tatiana,KNOLL:Tatiana
Depute-e,RIME Alexandre,RIME:Alexandre
Depute-e,DESYATKINA DZODZIEV Viktoriya,DESYATKINA:DZODZIEV:Viktoriya
Depute-e,THOMAS Sébastien,THOMAS:Sébastien
Depute-e,ROMANENS Mathieu,ROMANENS:Mathieu
Depute-e,SCHWEIZER Adriana,SCHWEIZER:Adriana
Depute-e,KHACHATRYAN Gohar,KHACHATRYAN:Gohar
Depute-e,PRANDO Stéphane,PRANDO:Stéphane
Depute-e,BORER Maria Da Conceicao,BORER:Maria:Da:Conceicao
Depute-e,AKABA El Mostafa,AKABA:El:Mostafa
Depute-e,LÉGUILLON Angèle,LÉGUILLON:Angèle
Depute-e,BONTOUX Caroline,BONTOUX:Caroline
