entity,value,synonyms
Député-e,MOYARD MIZRAHI Salima,moyard:mizrahi:salima
Député-e,DANDRÈS Christian,dandrès:christian
Député-e,VERISSIMO DE FREITAS Helena,verissimo:de:freitas:helena
Député-e,CARASSO Grégoire,carasso:grégoire
Député-e,SOBANEK Marion,sobanek:marion
Député-e,THÉVOZ Sylvain,thévoz:sylvain
Député-e,CONTI Jennifer,conti:jennifer
Député-e,STAUB Martin,staub:martin
Député-e,VALIQUER GRECUCCIO Nicole,valiquer:grecuccio:nicole
Député-e,RIELLE Jean Charles,rielle:jean:charles
Député-e,GAVILANES Amanda,gavilanes:amanda
Député-e,MIZRAHI Cyril,mizrahi:cyril
Député-e,CASARES Maria Jesus,casares:maria:jesus
Député-e,POMATTO Michel,pomatto:michel
Député-e,STRASSER Léna,strasser:léna
Député-e,KOKOT Guilhem,kokot:guilhem
Député-e,ROMANO Maria (Maria Vittoria),romano:maria:maria:vittoria
Député-e,MUSSA Ahmed (Youniss),mussa:ahmed:youniss
Député-e,OSMANI Xhevrie,osmani:xhevrie
Député-e,ESTEBAN Diego,esteban:diego
Député-e,BAILLON Glenna,baillon:glenna
Député-e,EYA NCHAMA Cruz Melchor,eya:nchama:cruz:melchor
Député-e,BRANDRUP Gladys (ACOSTA BRANDRUP),brandrup:gladys:acosta:brandrup
Député-e,CHIARADONNA Denis,chiaradonna:denis
Député-e,LÜTHI Badia,lüthi:badia
Député-e,CLEMENCE Nicolas,clemence:nicolas
Député-e,VATRE Patricia,vatre:patricia
Député-e,ZIMMERMANN Michel,zimmermann:michel
Député-e,VIRET Dora (Cécilia),viret:dora:cécilia
Député-e,VELASCO Alberto,velasco:alberto
Député-e,FABRE Michel,fabre:michel
Député-e,DE BATTISTA Regis,de:battista:regis
Député-e,DEONNA Emmanuel,deonna:emmanuel
Député-e,TOMBOLA Jean-Pierre,tombola:jean-pierre
Député-e,KEEL Theo,keel:theo
Député-e,LAPALUD Patrick,lapalud:patrick
Député-e,BARRY Thierno,barry:thierno
Député-e,HALIMI Hysri,halimi:hysri
Député-e,GAJARDO MUNOZ Jorge,gajardo:munoz:jorge
Député-e,ALONSO UNICA Manuel,alonso:unica:manuel
Député-e,BALDINI Frédéric,baldini:frédéric
Député-e,BRUCHEZ Thomas,bruchez:thomas
Député-e,BENDA Benjamin,benda:benjamin
Député-e,BURKHARD Roland,burkhard:roland
Député-e,BOSSHARD Pierre Yves,bosshard:pierre:yves
Député-e,KURTESHI Ismet,kurteshi:ismet
Député-e,DE MONTMOLLIN Simone,de:montmollin:simone
Député-e,MOREL Philippe,morel:philippe
Député-e,PUTALLAZ Jean (Jean ROMAIN),putallaz:jean:jean:romain
Député-e,SAUDAN Patrick,saudan:patrick
Député-e,SELLEGER Charles,selleger:charles
Député-e,UEHLINGER Pascal,uehlinger:pascal
Député-e,VUILLOD Georges,vuillod:georges
Député-e,WICKY Raymond,wicky:raymond
Député-e,ZUBER Céline (ROY),zuber:céline:roy
Député-e,ZWEIFEL Yvan,zweifel:yvan
Député-e,AELLEN Cyril,aellen:cyril
Député-e,ALDER Murat Julian,alder:murat:julian
Député-e,BARBEY Alexis,barbey:alexis
Député-e,BARDE Antoine,barde:antoine
Député-e,BÉNÉ Jacques,béné:jacques
Député-e,DE CANDOLLE Beatriz,de:candolle:beatriz
Député-e,CONNE Pierre,conne:pierre
Député-e,CUENDET Edouard,cuendet:edouard
Député-e,HILTPOLD Serge,hiltpold:serge
Député-e,MALEK-ASGHAR Patrick,malek-asghar:patrick
Député-e,MONBARON Fabienne (MONBARON-STRESS),monbaron:fabienne:monbaron-stress
Député-e,MORAND Louise,morand:louise
Député-e,NICOLLIER Pierre,nicollier:pierre
Député-e,OPPLIGER Danielle,oppliger:danielle
Député-e,ORSINI Antoine,orsini:antoine
Député-e,PASQUIER Jean-Pierre,pasquier:jean-pierre
Député-e,PATEK Serge,patek:serge
Député-e,DE PLANTA Francine,de:planta:francine
Député-e,RANA ZOLANA Ginior,rana:zolana:ginior
Député-e,RIGOTTI Maria (Helena),rigotti:maria:helena
Député-e,ROULLET Michèle,roullet:michèle
Député-e,SCHALLER Vincent,schaller:vincent
Député-e,SCHNEEBELI Roland-Daniel,schneebeli:roland-daniel
Député-e,SENGLET Christophe,senglet:christophe
Député-e,SERRANO Philippe,serrano:philippe
Député-e,SOMMER Monika,sommer:monika
Député-e,STEINER Matthieu,steiner:matthieu
Député-e,SUBILIA Vincent,subilia:vincent
Député-e,TSCHOPP Laurent,tschopp:laurent
Député-e,WAVRE Rolin,wavre:rolin
Député-e,WICKI Guy,wicki:guy
Député-e,WOLFISBERG François,wolfisberg:françois
Député-e,AGRAMUNT Gian-Reto,agramunt:gian-reto
Député-e,APOTHÉLOZ Jacques,apothéloz:jacques
Député-e,AUBERT Nicolas,aubert:nicolas
Député-e,BARBIER-MUELLER Diane,barbier-mueller:diane
Député-e,BELLINGERI Stefano Vito,bellingeri:stefano:vito
Député-e,BERSIER Julie,bersier:julie
Député-e,BLANCH Richard-Pascal (Pascal),blanch:richard-pascal:pascal
Député-e,BÖHLER Frances (BÖHLER-GOODSHIP Elizabeth),böhler:frances:böhler-goodship:elizabeth
Député-e,BOUVIER Christine,bouvier:christine
Député-e,BRANDT Simon,brandt:simon
Député-e,BRON Gilles-Olivier,bron:gilles-olivier
Député-e,BRUNEL Mayori,brunel:mayori
Député-e,BURRI Rémy,burri:rémy
Député-e,CORNU Renate,cornu:renate
Député-e,CREFFIELD Conrad,creffield:conrad
Député-e,DAHER Vincent,daher:vincent
Député-e,DÉROBERT Thierry,dérobert:thierry
Député-e,DESFAYES Natacha (BUFFET-DESFAYES),desfayes:natacha:buffet-desfayes
Député-e,DOUZALS Jacques,douzals:jacques
Député-e,FISS Joëlle,fiss:joëlle
Député-e,GENECAND Adrien,genecand:adrien
Député-e,GIACOBINO Donata (GIACOBINO-FROIDEVAUX Nadia),giacobino:donata:giacobino-froidevaux:nadia
Député-e,GRAND Eric,grand:eric
Député-e,GROGNUZ Fabien,grognuz:fabien
Député-e,JAY Sylvie,jay:sylvie
Député-e,JUD Philippe,jud:philippe
Député-e,KÄMPFEN Véronique,kämpfen:véronique
Député-e,LÄMMEL Valérie (LAEMMEL-JUILLARD),lämmel:valérie:laemmel-juillard
Député-e,LEISER Jean-Marc,leiser:jean-marc
Député-e,LOCHER Jean,locher:jean
Député-e,LUZZATTO Christine,luzzatto:christine
Député-e,MESSERLI Marie-Claire,messerli:marie-claire
Député-e,MEYER Philippe,meyer:philippe
Député-e,BUCHS Bertrand,buchs:bertrand
Député-e,AEBI Benjamin,aebi:benjamin
Député-e,ANGELOZZI Philippe,angelozzi:philippe
Député-e,VON ARX-VERNON Anne-Marie,von:arx-vernon:anne-marie
Député-e,BACHMANN Delphine,bachmann:delphine
Député-e,BIDAUX Patricia (BIDAUX-RODRIGUEZ),bidaux:patricia:bidaux-rodriguez
Député-e,BLONDIN Jacques,blondin:jacques
Député-e,BOCQUET Claude,bocquet:claude
Député-e,BOURBALA Djamel,bourbala:djamel
Député-e,BOUVIER Jérémy,bouvier:jérémy
Député-e,BUGNION Jean-Michel,bugnion:jean-michel
Député-e,CASUTT Martine,casutt:martine
Député-e,CERUTTI Olivier,cerutti:olivier
Député-e,CHAKER MANGEAT Alia,chaker:mangeat:alia
Député-e,CHEVALIER Alexandre,chevalier:alexandre
Député-e,DECREY Christophe,decrey:christophe
Député-e,DELUERMOZ Cosima,deluermoz:cosima
Député-e,DESFAYES Sébastien,desfayes:sébastien
Député-e,DULEX Christophe,dulex:christophe
Député-e,DUPONT Thérèse,dupont:thérèse
Député-e,ENGELBERTS Marie-Thérèse (ENGELBERTS-LEONE),engelberts:marie-thérèse:engelberts-leone
Député-e,FISCHER Daniel,fischer:daniel
Député-e,FORNI Jean-Luc,forni:jean-luc
Député-e,FOURNIER Nicolas,fournier:nicolas
Député-e,FRISCHKNECHT Catherine,frischknecht:catherine
Député-e,GACHE Hélène,gache:hélène
Député-e,GASHI Sami,gashi:sami
Député-e,GIANNASI Anthony,giannasi:anthony
Député-e,GIANNELLI Mark,giannelli:mark
Député-e,GIORIA Gaëlle,gioria:gaëlle
Député-e,GUINCHARD Jean-Marc,guinchard:jean-marc
Député-e,DE KALBERMATTEN Alain,de:kalbermatten:alain
Député-e,KUNZ Laurence,kunz:laurence
Député-e,LANCE François,lance:françois
Député-e,LATHION Jean Charles,lathion:jean:charles
Député-e,LEHNER Laurent,lehner:laurent
Député-e,MAGNIN Xavier,magnin:xavier
Député-e,MAGNIN Yves,magnin:yves
Député-e,MAITRE Vincent,maitre:vincent
Député-e,MAKKI Michela (Michèle),makki:michela:michèle
Député-e,MEISSNER REYFER Christine (Christina),meissner:reyfer:christine:christina
Député-e,MERLE Emmanuelle,merle:emmanuelle
Député-e,METTAN Guy,mettan:guy
Député-e,MEYER DE STADELHOFEN Philippe,meyer:de:stadelhofen:philippe
Député-e,MONDOUX Alexandre,mondoux:alexandre
Député-e,MORONI Catherine,moroni:catherine
Député-e,NEUDER Isabelle,neuder:isabelle
Député-e,OUEDRAOGO Moustapha,ouedraogo:moustapha
Député-e,PERRET Vincent,perret:vincent
Député-e,PFEIFFER Alex,pfeiffer:alex
Député-e,PROGIN Christian,progin:christian
Député-e,PUTALLAZ Thomas,putallaz:thomas
Député-e,RASOLO Daniel,rasolo:daniel
Député-e,RUCHET Philippe,ruchet:philippe
Député-e,RYS Alexandra,rys:alexandra
Député-e,SAUDAN Guy,saudan:guy
Député-e,SAYEGH Souheil,sayegh:souheil
Député-e,SCANDURRA Alessandro,scandurra:alessandro
Député-e,SCHMIED Patrick,schmied:patrick
Député-e,SCHRAG Sylvianne,schrag:sylvianne
Député-e,SIMOES Jose,simoes:jose
Député-e,SOPI Dardan,sopi:dardan
Député-e,SQUILLACI Nicola,squillaci:nicola
Député-e,STEINBERG CANDRIAN Melinda,steinberg:candrian:melinda
Député-e,TOMASSI Christine,tomassi:christine
Député-e,TREMBLET Laurent,tremblet:laurent
Député-e,UONG Dinh Manh,uong:dinh:manh
Député-e,VÖLKI Robert,völki:robert
Député-e,VUARNOZ Emanuela (Emanuelle),vuarnoz:emanuela:emanuelle
Député-e,WEHRLI Patrick,wehrli:patrick
